intern_id,developer_intern_name,college
1,nzt_wwatqy_college001,college001
2,tad_elczg_college001,college001
3,ptcx_ohufk_college001,college001
4,ozq_tfyptw_college001,college001
5,klpzhp_fpb_college001,college001
6,azo_ioqqqo_college001,college001
7,oin_hywyn_college001,college001
8,tmwaguz_sbuccwp_college001,college001
9,wfpedt_fckhag_college001,college001
10,hqifgsy_xfmeph_college001,college001
11,rdrujtd_bjicnfx_college001,college001
12,xbvvzxp_amikc_college001,college001
13,vxv_oaonce_college001,college001
14,kobpe_osk_college001,college001
15,mgi_dxmxyrb_college001,college001
16,bsmyr_yoairju_college001,college001
17,ianfw_zuqyz_college001,college001
18,mdu_nipssxu_college001,college001
19,qjcmv_fytcfjd_college001,college001
20,motkjuu_visua_college001,college001
21,pfvbww_hgdgr_college001,college001
22,bmajpa_szvr_college001,college001
23,pba_lxmrwu_college001,college001
24,xqxu_ijg_college001,college001
25,buzfwi_cepi_college001,college001
26,mez_okkq_college002,college002
27,cbyegz_lan_college002,college002
28,ctmg_cijgo_college002,college002
29,mkxw_mlo_college002,college002
30,qhpkj_epyjz_college002,college002
31,yxkwsk_euytm_college002,college002
32,nebexv_ruip_college002,college002
33,few_mmfbt_college002,college002
34,hyagcl_fekfqk_college002,college002
35,dki_jep_college002,college002
36,olsih_dtawchc_college002,college002
37,flczst_dbkv_college002,college002
38,xeq_zjpkfm_college002,college002
39,drh_xpzbtd_college002,college002
40,abfidbc_snf_college002,college002
41,gya_sdn_college002,college002
42,afs_npuian_college002,college002
43,hzgbrvl_sjt_college002,college002
44,acwv_snnf_college002,college002
45,erk_pesn_college002,college002
46,fwhj_lepfe_college002,college002
47,czv_fyllq_college002,college002
48,twcdvun_hqxn_college002,college002
49,zge_hkqquhx_college002,college002
50,pihadow_rhbzwy_college002,college002
51,qunk_jlnxchz_college003,college003
52,fhovwur_rmx_college003,college003
53,pxfug_jvx_college003,college003
54,dkcnqh_qnkpx_college003,college003
55,ibkjoqc_phyiby_college003,college003
56,idyove_kfcgq_college003,college003
57,qie_okvnqy_college003,college003
58,kvmbdne_eit_college003,college003
59,yngo_ybnpco_college003,college003
60,evwlf_wvd_college003,college003
61,vusdlo_eaw_college003,college003
62,uvfvq_jwgn_college003,college003
63,txw_nejlgd_college003,college003
64,ecx_mwkx_college003,college003
65,upnysg_ycvsf_college003,college003
66,gsszx_gwaj_college003,college003
67,qpb_noa_college003,college003
68,jxxelm_tbsl_college003,college003
69,wljek_rjhch_college003,college003
70,qwny_gphx_college003,college003
71,wkkhgtf_jxyfcba_college003,college003
72,zhmem_nqfku_college003,college003
73,wde_ukpl_college003,college003
74,kipwrap_avmc_college003,college003
75,rkecux_yecfub_college003,college003
76,xxekblu_bkl_college004,college004
77,lavplxq_gjetqzj_college004,college004
78,ezg_swxwsqi_college004,college004
79,eyef_ysmocw_college004,college004
80,bqhuj_zlvm_college004,college004
81,hylt_hakpdu_college004,college004
82,vojfi_sezx_college004,college004
83,acxitq_gwgp_college004,college004
84,wnggyx_knlf_college004,college004
85,ymgf_ypmym_college004,college004
86,fdqvakq_puc_college004,college004
87,ctauczo_diglvfv_college004,college004
88,nnpnvt_epenfp_college004,college004
89,khy_fdlppn_college004,college004
90,fsccgd_dczewz_college004,college004
91,mdyxpo_mvn_college004,college004
92,zsxn_pdxdf_college004,college004
93,yijsjpv_tnhlrhx_college004,college004
94,iomtcn_oytz_college004,college004
95,aoy_slckst_college004,college004
96,qsggmka_xaoteyc_college004,college004
97,lhmti_aqix_college004,college004
98,rfdma_ctlj_college004,college004
99,ccosdi_gie_college004,college004
100,geoshu_qxalrwq_college004,college004
101,jmdksr_fyhegjd_college005,college005
102,oqty_pxvw_college005,college005
103,xecse_wxl_college005,college005
104,otabpm_fvgkwck_college005,college005
105,vdq_pswkdkn_college005,college005
106,flvtws_ttio_college005,college005
107,ntf_cvgyjt_college005,college005
108,vrqffi_gmftbt_college005,college005
109,zqvgfv_lezljp_college005,college005
110,fuxr_hxb_college005,college005
111,goomt_tuncf_college005,college005
112,olavo_oudjxv_college005,college005
113,barf_gqdj_college005,college005
114,ndoz_caqau_college005,college005
115,hojpmth_hgce_college005,college005
116,neovm_tmaa_college005,college005
117,orgi_vagefb_college005,college005
118,amizz_thg_college005,college005
119,gnsw_lddqroo_college005,college005
120,nrgs_yyx_college005,college005
121,ckdaocx_zubddjb_college005,college005
122,voxbxot_tky_college005,college005
123,ezrhdx_sfmrt_college005,college005
124,uksa_zqor_college005,college005
125,okdhha_yrvgqrc_college005,college005
126,ftgy_vihlek_college006,college006
127,ciuf_zvq_college006,college006
128,pbn_xklqeoc_college006,college006
129,twytiww_krqosht_college006,college006
130,iufswrw_bntwdf_college006,college006
131,tubcvj_yjpjnv_college006,college006
132,cypzczq_dwuz_college006,college006
133,bbhoer_bbjlqhr_college006,college006
134,yott_odady_college006,college006
135,neu_jcg_college006,college006
136,xizy_xdbrtdr_college006,college006
137,ett_givca_college006,college006
138,gfxukbu_oaj_college006,college006
139,sjqcg_ynp_college006,college006
140,ksu_xmx_college006,college006
141,ouc_ixsdfzs_college006,college006
142,xmmg_hrp_college006,college006
143,xpneub_yhoddsx_college006,college006
144,qpwvg_omymmx_college006,college006
145,quk_fwjd_college006,college006
146,dti_rodevv_college006,college006
147,mepd_yjvxhmq_college006,college006
148,ynsyyf_aetjlg_college006,college006
149,ipfy_jsvz_college006,college006
150,htc_crgem_college006,college006
151,egm_eqccg_college007,college007
152,yrofcx_psj_college007,college007
153,jifuwv_vntv_college007,college007
154,uyepi_eriw_college007,college007
155,ouknj_siade_college007,college007
156,uqk_mvcc_college007,college007
157,sqdtpp_fvhxyl_college007,college007
158,qaidc_uxmlet_college007,college007
159,tsixnhj_jolkw_college007,college007
160,hvndky_ook_college007,college007
161,zgpve_otbfr_college007,college007
162,glcmjwx_zesq_college007,college007
163,dhqztb_vzkxb_college007,college007
164,ivjl_nyibby_college007,college007
165,lshhzs_xivmj_college007,college007
166,kwsolt_aoeuup_college007,college007
167,udxj_nuuh_college007,college007
168,rlxi_ocuflpj_college007,college007
169,dckq_xgzy_college007,college007
170,luyd_hltahk_college007,college007
171,dfj_etqshq_college007,college007
172,azjxrj_pltcxg_college007,college007
173,yznx_xswqm_college007,college007
174,chuuu_wxem_college007,college007
175,icgkl_naclswz_college007,college007
176,bci_gqc_college008,college008
177,efvbt_rwq_college008,college008
178,wfu_lljd_college008,college008
179,dhj_uolr_college008,college008
180,eetslp_fszopdg_college008,college008
181,rjoukbb_nlhysjt_college008,college008
182,mum_htiwp_college008,college008
183,kzf_idzln_college008,college008
184,xsg_vluyz_college008,college008
185,unj_tcyjrd_college008,college008
186,rszf_rqyjcnn_college008,college008
187,hpi_itb_college008,college008
188,uhxz_pfv_college008,college008
189,lvxe_lqjihs_college008,college008
190,xfp_sjkfcpe_college008,college008
191,nzpom_twbtw_college008,college008
192,gkegru_haw_college008,college008
193,gtjfrm_umvlop_college008,college008
194,ngkuqix_saqpfq_college008,college008
195,xvozik_sybyy_college008,college008
196,ybjs_boszez_college008,college008
197,ranj_kuxy_college008,college008
198,san_tteyd_college008,college008
199,uwdes_izo_college008,college008
200,ibk_bnr_college008,college008
201,nmvsk_ntbfl_college009,college009
202,eugq_zpsd_college009,college009
203,jgcc_frc_college009,college009
204,xxv_amjnk_college009,college009
205,vin_xxahsx_college009,college009
206,ypdfm_pob_college009,college009
207,etoejvp_jimb_college009,college009
208,toub_hkbqn_college009,college009
209,qktmm_vgub_college009,college009
210,yhdlg_khhzba_college009,college009
211,eavywwj_uso_college009,college009
212,kbikwvy_wvt_college009,college009
213,sflcj_yfjylzx_college009,college009
214,unbcsjg_fggjru_college009,college009
215,znuvm_oznso_college009,college009
216,izuvo_cyxhntj_college009,college009
217,zlzl_eflrxho_college009,college009
218,miqp_uqoeclj_college009,college009
219,pintdu_hunsdo_college009,college009
220,gebrfs_gxxyt_college009,college009
221,khu_bdpkoy_college009,college009
222,tdkdmnv_spjks_college009,college009
223,ajb_ixs_college009,college009
224,ubml_yziyjn_college009,college009
225,bdsjzi_bmwq_college009,college009
226,xqao_xgjh_college010,college010
227,wtvkrep_buu_college010,college010
228,kbm_rqxi_college010,college010
229,cfmztcj_yzhd_college010,college010
230,tyiwtx_tap_college010,college010
231,ajrkf_szeo_college010,college010
232,tck_zbj_college010,college010
233,ixryr_lhpjp_college010,college010
234,emdkyhq_yklosqw_college010,college010
235,zuzg_vxsszjd_college010,college010
236,uux_aqtuea_college010,college010
237,jozfpt_tuwngzz_college010,college010
238,ncyac_akpqnem_college010,college010
239,pfnijme_novnxn_college010,college010
240,ozqa_ecxae_college010,college010
241,cvpqpli_uzl_college010,college010
242,fawdwj_fesbzz_college010,college010
243,ikwbwas_xcrviy_college010,college010
244,fylz_npph_college010,college010
245,fncnw_niaicin_college010,college010
246,ltmtzhf_diwjg_college010,college010
247,vopnqqk_muxr_college010,college010
248,ccdf_jecf_college010,college010
249,eqjqurd_dsh_college010,college010
250,glecj_qjxbfas_college010,college010
251,pjlt_zipc_college011,college011
252,kff_teygh_college011,college011
253,zvcmpg_esuu_college011,college011
254,cedc_dxfh_college011,college011
255,xmejfm_gmygqm_college011,college011
256,kgdodq_jfewi_college011,college011
257,kcsfknf_drxxdae_college011,college011
258,lwktc_wjjawj_college011,college011
259,ooczkgv_rahpmg_college011,college011
260,aopghd_ksprqf_college011,college011
261,lcjvy_wktmsz_college011,college011
262,yectb_apipfwz_college011,college011
263,fpjxbn_azrpfpi_college011,college011
264,mons_gzmf_college011,college011
265,rgn_dza_college011,college011
266,dufu_voecw_college011,college011
267,urbmw_hzrr_college011,college011
268,dop_ggaw_college011,college011
269,eplmsns_heagjo_college011,college011
270,uvvlexm_jdz_college011,college011
271,gvikabg_xlhgl_college011,college011
272,gqovi_hotswqk_college011,college011
273,bexs_glyzlgt_college011,college011
274,hmqgvj_blx_college011,college011
275,bpydgph_nff_college011,college011
276,keo_bdyv_college012,college012
277,wqcw_xycu_college012,college012
278,xos_jfpkl_college012,college012
279,ulwivgr_dwjmenm_college012,college012
280,ziyvcze_ukonv_college012,college012
281,tca_jep_college012,college012
282,llhsmm_qll_college012,college012
283,nripthc_ejlhxfi_college012,college012
284,lil_aimtny_college012,college012
285,zoqd_rpala_college012,college012
286,icsjh_gvepjr_college012,college012
287,ktkkvb_gmswcq_college012,college012
288,hufvy_szakbey_college012,college012
289,topxbqi_abqsokt_college012,college012
290,cqgja_dohebs_college012,college012
291,cgaw_bzre_college012,college012
292,gbuyj_vvdecx_college012,college012
293,fuzrhn_qir_college012,college012
294,ldb_koanel_college012,college012
295,lnthqvk_wsl_college012,college012
296,jqr_onixt_college012,college012
297,ivivx_lfzhgs_college012,college012
298,dskw_jicu_college012,college012
299,rjihhjl_wfd_college012,college012
300,jqmkyae_edbaar_college012,college012
301,zguozq_nwe_college013,college013
302,flsltut_gnhxjzh_college013,college013
303,kwu_yogrk_college013,college013
304,awiiwm_ewbikkf_college013,college013
305,ahsdwgr_sxpc_college013,college013
306,rvxhbhn_mmwhfs_college013,college013
307,cknb_yhjju_college013,college013
308,mbbe_cbontny_college013,college013
309,bkg_tno_college013,college013
310,rndy_izll_college013,college013
311,znmumac_itr_college013,college013
312,uspmev_hzedgyw_college013,college013
313,uxelbut_gmuxzb_college013,college013
314,dnkxxr_kuxrt_college013,college013
315,nhhdo_oerhmjf_college013,college013
316,gnnsu_hxyggsd_college013,college013
317,nhqlcdm_wqem_college013,college013
318,wgty_qmhn_college013,college013
319,hbmtu_aju_college013,college013
320,vfwo_kxwujcm_college013,college013
321,nyiuq_oyged_college013,college013
322,zhvpg_ntwnmf_college013,college013
323,voxan_ywnu_college013,college013
324,fbv_ojywwdp_college013,college013
325,wtmp_jix_college013,college013
326,bckfik_rsk_college014,college014
327,bwad_gauhl_college014,college014
328,zbdcq_dos_college014,college014
329,bgzgkqc_nayw_college014,college014
330,ibay_qna_college014,college014
331,coosqkk_rkrjjf_college014,college014
332,xlcldqo_tph_college014,college014
333,uvdxca_izpjafh_college014,college014
334,dcgl_btrk_college014,college014
335,whj_avtvxfv_college014,college014
336,tncdraq_spctb_college014,college014
337,lcf_zwuz_college014,college014
338,gdnr_yxukyfd_college014,college014
339,jwbrp_mgfdw_college014,college014
340,gtmn_jlh_college014,college014
341,zckz_wiiwf_college014,college014
342,egz_skmovee_college014,college014
343,mxium_fecgqfj_college014,college014
344,nqhha_ydb_college014,college014
345,iqmip_out_college014,college014
346,pfgh_mrbthv_college014,college014
347,ujn_zyylg_college014,college014
348,ianfg_bmws_college014,college014
349,cqrjz_fypqt_college014,college014
350,juo_msg_college014,college014
351,mlmzyh_iuig_college015,college015
352,ilk_mcrdvf_college015,college015
353,tiqupc_hoe_college015,college015
354,mghhlpr_uca_college015,college015
355,eaja_plxam_college015,college015
356,crd_kvhxx_college015,college015
357,vufc_ysrifg_college015,college015
358,yxbgk_ojn_college015,college015
359,dhjbhg_qpxlno_college015,college015
360,qicgbl_apfjmnq_college015,college015
361,jtov_dpvvgci_college015,college015
